牌組ID,牌組名稱,牌組圖示,卡牌名稱,說明,卡牌圖示,抽選池圖示,圖片,稀有度,標籤,
creatures,生物卡,◇,狗狗,忠誠、嗅覺敏銳，能找路也能安撫人心，只是遇到噪音可能先激動。,,🐶,../assets/cards/生物卡/狗狗.png,A,,
creatures,生物卡,◇,貓貓,安靜、靈活、擅長鑽入狹小空間，可惜牠不一定願意聽你的。,,🐱,,A,,
creatures,生物卡,◇,熊貓,外表無害、能吸引注意，是談判與宣傳奇兵，但行動效率偏低。,,🐼,../assets/cards/生物卡/熊貓.png,A,,
creatures,生物卡,◇,大象,力量巨大、記憶力好，能搬運障礙物，只是食量驚人。,,🐘,../assets/cards/生物卡/大象.png,A,,
creatures,生物卡,◇,老鷹,視野遼闊，能偵查遠方動靜，但不適合室內任務。,,🦅,../assets/cards/生物卡/老鷹.png,A,,
creatures,生物卡,◇,章魚,多手多工、善於解謎和偽裝，離水太久就是大問題。,,🐙,../assets/cards/生物卡/章魚.png,A,,
creatures,生物卡,◇,蜜蜂,能建立集體秩序，也能製造資源，但需要被小心保護。,,🐝,../assets/cards/生物卡/蜜蜂.png,A,,
creatures,生物卡,◇,駱駝,耐旱耐走，長途移動可靠，速度不是它的強項。,,🐪,../assets/cards/生物卡/駱駝.png,A,,
creatures,生物卡,◇,海豚,聰明、善溝通，適合水域任務，但離開水就難以發揮。,,🐬,../assets/cards/生物卡/海豚.png,A,,
creatures,生物卡,◇,烏龜,防禦力高、壽命長，很適合守護秘密，只是節奏慢。,,🐢,../assets/cards/生物卡/烏龜.png,A,,
creatures,生物卡,◇,狼,團隊合作與追蹤能力強，但容易引發恐懼。,,🐺,../assets/cards/生物卡/狼.png,A,,
creatures,生物卡,◇,企鵝,抗寒能力強，擅長群體行動，可惜在熱帶環境很吃虧。,,🐧,../assets/cards/生物卡/企鵝.png,A,,
creatures,生物卡,◇,馬,移動速度快，可載人載物，但需要照料與空間。,,🐴,../assets/cards/生物卡/馬.png,A,,
creatures,生物卡,◇,松鼠,敏捷、會儲藏資源，適合搜集補給，但容易分心。,,🐿️,../assets/cards/生物卡/松鼠.png,A,,
creatures,生物卡,◇,貓頭鷹,夜間觀察力強，適合守夜與偵察，但白天精神有限。,,🦉,../assets/cards/生物卡/貓頭鷹.png,A,,
creatures,生物卡,◇,袋鼠,跳躍力強，能快速穿越障礙，手部操作較不靈活。,,🦘,../assets/cards/生物卡/袋鼠.png,A,,
creatures,生物卡,◇,獅子,力量驚人、擅長震懾對手，適合正面突破，但耐力不算突出。,,🦁,../assets/cards/生物卡/獅子.png,A,,
creatures,生物卡,◇,長頸鹿,身高優勢明顯，能觀察遠方環境，但近距離行動較不靈活。,,🦒,../assets/cards/生物卡/長頸鹿.png,A,,
creatures,生物卡,◇,犀牛,防禦力極高，能突破障礙物，只是轉向速度較慢。,,🦏,../assets/cards/生物卡/犀牛.png,A,,
creatures,生物卡,◇,河馬,能長時間待在水中，適合守衛河域，但離水後行動效率下降。,,🦛,../assets/cards/生物卡/河馬.png,A,,
creatures,生物卡,◇,樹懶,耐心十足、善於隱蔽，適合潛伏任務，只是行動速度偏慢。,,🦥,../assets/cards/生物卡/樹懶.png,A,,
creatures,生物卡,◇,水獺,擅長游泳與使用工具，水陸皆有一定適應力，但依賴水域環境。,,🦦,../assets/cards/生物卡/水獺.png,A,,
creatures,生物卡,◇,鸚鵡,模仿能力強、善於傳遞訊息，適合交流與偵查，但戰鬥能力有限。,,🦜,../assets/cards/生物卡/鸚鵡.png,A,,
creatures,生物卡,◇,孔雀,華麗外表容易吸引注意，適合展示或誘敵，但飛行距離有限。,,🦚,../assets/cards/生物卡/孔雀.png,A,,
creatures,生物卡,◇,天鵝,飛行與游泳能力兼具，適合長距離遷徙，只是起飛需要空間。,,🦢,../assets/cards/生物卡/天鵝.png,A,,
creatures,生物卡,◇,蜥蜴,適應力強、善於攀爬與躲藏，適合探索狹小空間，但體型較小。,,🦎,../assets/cards/生物卡/蜥蜴.png,A,,
creatures,生物卡,◇,鯊魚,游泳速度驚人，適合水域追擊，但無法長時間離開水中。,,🦈,../assets/cards/生物卡/鯊魚.png,A,,
creatures,生物卡,◇,蝴蝶,飛行靈活、善於授粉與探索，適合快速搜尋，但身體相當脆弱。,,🦋,../assets/cards/生物卡/蝴蝶.png,A,,
